rating,title,review,processed_review
5,Yummy,Good taste great value,"['good', 'tast', 'great', 'valu']"
5,Ordered and received this item in excellent condition.,"I make my own frappe using this item daily, love it.","['make', 'frapp', 'use', 'item', 'daili', 'love']"
5,Good coffee,What can you say? It’s Starbucks ice coffee…,"['say', 'starbuck', 'ice', 'coffee…']"
5,Love Starbucks,This is good and cheaper than the stores. I have two cases shipped to me every month. So worth it to me.,"['good', 'cheaper', 'store', 'two', 'case', 'ship', 'everi', 'month', 'worth']"
5,Can't beat the flavor!,"A little expensive, but worth it. Delicious coffee drink!","['littl', 'expens', 'worth', 'delici', 'coffe', 'drink']"
5,Me gusta mucho este producto,Sabor frapuccino,"['sabor', 'frapuccino']"
5,Love love ❤,love love love how I no longer have to hunt this flavor down and hope I can find it. It's delivered right to my front door every other week!!!!! And much cheaper than buying individual ones .,"['love', 'love', 'love', 'longer', 'hunt', 'flavor', 'hope', 'find', 'deliv', 'right', 'front', 'door', 'everi', 'week', 'much', 'cheaper', 'buy', 'individu', 'one']"
5,GREAT COFFEE DRINK!!,GREAT PRODUCT AND VALUE,"['great', 'product', 'valu']"
5,Front door service,Thanks !!!coffee flavor,"['thank', 'coffe', 'flavor']"
5,Coffee Frappuccino,I liked that my Frappuccino arrived on time and that it was just what Ihad ordered It is nice not to have to go to the store when ever I want a coffee frappuccino. Thank you,"['like', 'frappuccino', 'arriv', 'time', 'ihad', 'order', 'nice', 'go', 'store', 'ever', 'want', 'coffe', 'frappuccino', 'thank']"
5,Once opened coffee disappears to fast!,"Just can't help myself, I drink it down way to fast!","['ca', 'help', 'drink', 'way', 'fast']"
5,Yummy,I love this coffee and can’t find much of this flavor in my local grocery stores. Was packed very well and arrived in two days. It was worth the wait and money,"['love', 'coffe', 'find', 'much', 'flavor', 'local', 'groceri', 'store', 'pack', 'well', 'arriv', 'two', 'day', 'worth', 'wait', 'money']"
5,Starbuck’s Coffee,Love this coffee but it took a very long time to get them.,"['love', 'coffe', 'take', 'long', 'time', 'get']"
5,One bottle broken but good coffee,"Love the coffee , but one bottle broken when I opened the box","['love', 'coffe', 'bottl', 'break', 'open', 'box']"
5,My fave Starbucks beverage delivered to my door,"Love the flavor, the size, and convenience of having it delivered to my door as a Prime customer. The grocery store I frequent only sells the smaller size, and only in 4 pack - and ridiculously priced unless BOGO. Thank you Amazon/Subscribe & Save for re-adding this product to the S&S choices.","['love', 'flavor', 'size', 'conveni', 'deliv', 'door', 'prime', 'custom', 'groceri', 'store', 'frequent', 'sell', 'smaller', 'size', '4', 'pack', 'ridicul', 'price', 'unless', 'bogo', 'thank', 'amazon/subscrib', 'save', 're-ad', 'product', 'choic']"
5,We like the bigger containers,It’s ok,['ok']
5,Luv it!,Caramel is my favorite. A few weeks I couldn’t find these at any of the stores. So glad I was able to find them on here.,"['caramel', 'favorit', 'week', 'find', 'store', 'glad', 'abl', 'find']"
5,Always great - too expensive,"Like always, Starbucks is great, but too expensive. I hear that all the time & I feel the same way. Can’t afford it all the time.","['like', 'alway', 'starbuck', 'great', 'expens', 'hear', 'time', 'feel', 'way', 'afford', 'time']"
5,Good Morning!,Rich & Refreshing Beverage!,"['rich', 'refresh', 'beverag']"
5,Frappucino,"Hubbys addiction to this crap was satisfied when our local storrs ran out! Keeps him happy, that's all that matters","['hubbi', 'addict', 'crap', 'satisfi', 'local', 'storr', 'run', 'keep', 'happi', 'matter']"
5,Wife loves it,Nothing more to say as wife loves it,"['noth', 'say', 'wife', 'love']"
5,great taste,Available at a good price,"['avail', 'good', 'price']"
5,A bit deceitful.,"I feel that it is a bit deceitful to put another item there when the one a person wants isn't available. Yes, I will pay close attention to my orders from now on.","['feel', 'bite', 'deceit', 'put', 'anoth', 'item', 'person', 'want', 'avail', 'ye', 'pay', 'close', 'attent', 'order']"
5,BEST,BEST,['best']
5,Love this stuff!,Mocha is by far my favorite..smooth coffee chocolate flavor! Little spendy but is sooo good!,"['mocha', 'far', 'favorit', '..', 'smooth', 'coffe', 'chocol', 'flavor', 'littl', 'spendi', 'sooo', 'good']"
5,Retailers don't stock it around here any more.,It's the best cold coffee I have found. Hard to find locally.,"['best', 'cold', 'coffe', 'find', 'hard', 'find', 'local']"
5,My favorite drink,"I have enjoyed Starbucks Frappuccino Mocha for some now. I have always felt they were a little overpriced. I wish I could find their ""Lite"" version of this flavor. There are less expensive brands around, but none of them are as delicious as the Starbucks version in my opinion.","['enjoy', 'starbuck', 'frappuccino', 'mocha', 'alway', 'felt', 'littl', 'overpr', 'wish', 'could', 'find', 'lite', 'version', 'flavor', 'less', 'expens', 'brand', 'around', 'none', 'delici', 'starbuck', 'version', 'opinion']"
5,1 bottle in the box was broken,1 bottle in the box was broken,"['1', 'bottl', 'box', 'break']"
5,Best Flavor!,Very thankful to be able to order my favorite flavor. Delivered direct to my door.,"['thank', 'abl', 'order', 'favorit', 'flavor', 'deliv', 'direct', 'door']"
5,The best mocha coffee,"I cannot resist this coffee, iced, in the summertime. It's so delicious and refreshing. What will I do in the winter?","['resist', 'coffe', 'ice', 'summertim', 'delici', 'refresh', 'winter']"
5,Very timely delivery,"We've started drinking more of these, but local food stores were very erratic in stocking them.
Buying by the case solves this well!","[""'ve"", 'start', 'drink', 'local', 'food', 'store', 'errat', 'stock', 'buy', 'case', 'solv', 'well']"
5,The pkg not marked breakable & 2 were empty & broken,1st that I ordered box was marked breakable & heavy - but this time only marked heavy & 2 bottles were broken & emptied all over box!,"['1st', 'order', 'box', 'mark', 'breakabl', 'heavi', 'time', 'mark', 'heavi', '2', 'bottl', 'break', 'empti', 'box']"
5,Great product,Great flavor at a great price,"['great', 'flavor', 'great', 'price']"
5,Price too high,Price too high,"['price', 'high']"
5,"Great value & awesome packaging, No broken bottles while shipping",Great taste & value,"['great', 'tast', 'valu']"
5,Gotta love SB,Can't beat it!,"['ca', 'beat']"
5,Addictive--been drinking for many years!,"Have to have 1 a day. Store has been out for 6 weeks+--due to delivery issues.
So glad to find it on Amazon!","['1', 'day', 'store', '6', 'weeks+', '--', 'due', 'deliveri', 'issu', 'glad', 'find', 'amazon']"
5,Coffee,Delicious a real treat!!,"['delici', 'real', 'treat']"
5,Convenience,I drink this daily,"['drink', 'daili']"
5,Great Source,I have never had a problem ordering here. I stopped trying to find it in stores. Fresh tasting and quick delivery.,"['never', 'problem', 'order', 'stop', 'tri', 'find', 'store', 'fresh', 'tast', 'quick', 'deliveri']"
5,Good stuff,Great product!,"['great', 'product']"
5,No safety seals,"There are no safety seals on any of the frapps, I wonder why not. Does any one else have this problem. The pop up on the lid is still in tac tho. I love this mocha flavor, but I have noticed at times it doesn't taste as creamy.","['safeti', 'seal', 'frapp', 'wonder', 'els', 'problem', 'pop', 'lid', 'still', 'tac', 'tho', 'love', 'mocha', 'flavor', 'notic', 'time', 'tast', 'creami']"
5,Addicted,"I'm addicted to the Mocha Frappes!!😍 I order everytime they're available!!💜 My only complaint is, if I buy them at the store. EBT will cover them!! But to save money and order from Amazon. EBT won't cover them!! 😢 And that's not right!! 🤔 Just because I have to depend on Food Stamps, doesn't mean it shouldn't be covered!!😢😢😢","[""'m"", 'addict', 'mocha', 'frapp', '😍', 'order', 'everytim', ""'re"", 'avail', '💜', 'complaint', 'buy', 'store', 'ebt', 'cover', 'save', 'money', 'order', 'amazon', 'ebt', 'wo', 'cover', '😢', 'right', '🤔', 'depend', 'food', 'stamp', 'mean', 'cover', '😢😢😢']"
5,Can it get any better?,Loved getting my favorite coffee delivered right to my door!,"['love', 'get', 'favorit', 'coffe', 'deliv', 'right', 'door']"
5,The flavor is great,The Vanilla and Caramel Frappuccino has always been my favorites,"['vanilla', 'caramel', 'frappuccino', 'alway', 'favorit']"
5,Very good.,"I enjoy this drink, very much.","['enjoy', 'drink', 'much']"
5,🤘,🤘,['🤘']
5,I love the taste of this drink😀,I love the flavor of this drink and it’s a great buy😀,"['love', 'flavor', 'drink', 'great', 'buy😀']"
5,Not best item to have shipped,The product is my favorite. I ordered this product twice. Both shipments were damaged in transit resulting in having about 9 useable out of 36 ordered. I will just continue to purchase my Starbucks locally. Expensive lesson.,"['product', 'favorit', 'order', 'product', 'twice', 'shipment', 'damag', 'transit', 'result', '9', 'useabl', '36', 'order', 'continu', 'purchas', 'starbuck', 'local', 'expens', 'lesson']"
5,Yummy!!!,Arrived on time!,"['arriv', 'time']"
5,Delicious Mocha Frap,Classic delight,"['classic', 'delight']"
5,Cost the same as Walmart per bottle,Best flavor between Mocha and Vanilla extremely hard to find at this price,"['best', 'flavor', 'mocha', 'vanilla', 'extrem', 'hard', 'find', 'price']"
5,Delicious,Awesome,['awesom']
5,My wife’s favorite drink,This flavor is hard to find at a reasonable price but Amazon had it so we bought the twelve pack. It’s mostly Gond so we just reordered another 12 bottles. They really pack them we so all 24 bottles arrived unbroken.,"['flavor', 'hard', 'find', 'reason', 'price', 'amazon', 'buy', 'twelv', 'pack', 'mostli', 'gond', 'reorder', 'anoth', '12', 'bottl', 'realli', 'pack', '24', 'bottl', 'arriv', 'unbroken']"
5,I would not buy this flavor. It was ordered by mistak,I do not like the flavor.,"['like', 'flavor']"
5,Finally not price gouging!,Love this flavor! This seller didn’t price gouge!!,"['love', 'flavor', 'seller', 'price', 'goug']"
5,A Great Find,It has all the flavor that my wife as looking for in a cold coffee.,"['flavor', 'wife', 'look', 'cold', 'coffe']"
5,Very Good....,"1 Broken Bottle Out Of 24, I Can Live With That. Very Good Price..","['1', 'break', 'bottl', '24', 'live', 'good', 'price', '..']"
5,Value,Best price yet I've come across on the internet for the size,"['best', 'price', 'yet', ""'ve"", 'come', 'across', 'internet', 'size']"
5,amazing,i want to drink 6 of these every day,"['want', 'drink', '6', 'everi', 'day']"
5,FAST shipping!,"Love this coffee! Not a lot of caffeine, which is good for me since I don’t tolerate it well. Price is same as in the stores. This seller ships really fast! I’ve ordered from them again and again it shipped out next business day!","['love', 'coffe', 'lot', 'caffein', 'good', 'sinc', 'toler', 'well', 'price', 'store', 'seller', 'ship', 'realli', 'fast', 'order', 'ship', 'next', 'busi', 'day']"
5,PERFECT !!!!!!!,Everything was Perfect . Thank's !!!,"['everyth', 'perfect', 'thank']"
5,Good product bad vendor,Just make sure that it’s not coming from natures they arrive broken and moldy a month later,"['make', 'sure', 'come', 'natur', 'arriv', 'break', 'moldi', 'month', 'later']"
5,Great drink,Good quantity and flavor,"['good', 'quantiti', 'flavor']"
5,"Packaging change, plastic tampering seal not missing.","Someone mentioned that the wrap that went up the side of the bottle and over the cap was missing. That was all one piece of the bottle label, and now that label has been redesigned to only extend to the bottom of the cap. This is my go to drink, addicted doesn’t describe me accurately enough. I enjoy the coffee flavor, I find it less sweet than the others, but still sweet and creamy. Given everything in 2020 this has been harder to find. Only had one issue with a broken bottle but Amazon allows a return based on this.","['someon', 'mention', 'wrap', 'go', 'side', 'bottl', 'cap', 'miss', 'piec', 'bottl', 'label', 'label', 'redesign', 'extend', 'bottom', 'cap', 'go', 'drink', 'addict', 'describ', 'accur', 'enough', 'enjoy', 'coffe', 'flavor', 'find', 'less', 'sweet', 'other', 'still', 'sweet', 'creami', 'give', 'everyth', '2020', 'harder', 'find', 'issu', 'break', 'bottl', 'amazon', 'allow', 'return', 'base']"
5,Fast Delivery,Awesome delivery! Love it!,"['awesom', 'deliveri', 'love']"
5,Awesome,Great taste my husband love it,"['great', 'tast', 'husband', 'love']"
5,Just Right,Her mother loves it and drinks it every day. A great source of taste and enjoyment.,"['mother', 'love', 'drink', 'everi', 'day', 'great', 'sourc', 'tast', 'enjoy']"
5,My favorite,I started getting these cases because of local shortages . Finding a coffee flavored Frappuccino in my area was almost impossible so I subscribed to a case every couple weeks! Perfect! AND for the same price as buying them at Sheetz !,"['start', 'get', 'case', 'local', 'shortag', 'find', 'coffe', 'flavor', 'frappuccino', 'area', 'almost', 'imposs', 'subscrib', 'case', 'everi', 'coupl', 'week', 'perfect', 'price', 'buy', 'sheetz']"
5,Love This Drink,I enjoy one each and every day. I guess I am addicted. The caramel is better than the regular or lite Mocha.,"['enjoy', 'everi', 'day', 'guess', 'addict', 'caramel', 'better', 'regular', 'lite', 'mocha']"
5,Thank you! Very convenient,I Only like the mocha ones .,"['like', 'mocha', 'one']"
5,Double Serving,Nothing better than Starbucks flavor in large bottles!,"['noth', 'better', 'starbuck', 'flavor', 'larg', 'bottl']"
5,Great choice.,Excellent,['excel']
5,One WORD YUM!,"I love, love, love this product. I order it regularly. Pricy, but delish.","['love', 'love', 'love', 'product', 'order', 'regularli', 'prici', 'delish']"
5,Delicious 🤤,Yum,['yum']
5,Great value,Flavors,['flavor']
5,Breakfast every day,Expensive but I’m addicted.,"['expens', 'addict']"
5,Great deal,Well when my local store didn't have it... Y'all came thru So happy and the right price,"['well', 'local', 'store', ""y'all"", 'come', 'thru', 'happi', 'right', 'price']"
5,Easy to order,My favorite flavor,"['favorit', 'flavor']"
5,Love these-good price,Love these drinks. I had to cancel my subscription though because my delivery kept getting delayed. Good price for the size.,"['love', 'drink', 'cancel', 'subscript', 'though', 'deliveri', 'keep', 'get', 'delay', 'good', 'price', 'size']"
5,Why is it not be delivered anymore from you?,I love this product could get two 4 62$ since u don’t deliver it any any longer will cost over $113…crazy🥵,"['love', 'product', 'could', 'get', 'two', '4', '62', 'sinc', 'u', 'deliv', 'longer', 'cost', '113…crazy🥵']"
5,My addiction delivered to my door,"I have a serious addiction to the Mocha Frapps. I work from home and drink a few of these a day. I have a hard time finding enough locally to supply my addiction and was delighted to find my preferred size for delivery. I order 3-4 cases every 2 weeks and have only had 1 bottle that was broken because everything is well packed. I came back to order today and it appears that they aren’t available. Please, for my mental health bring back mocha frapps.","['seriou', 'addict', 'mocha', 'frapp', 'work', 'home', 'drink', 'day', 'hard', 'time', 'find', 'enough', 'local', 'suppli', 'addict', 'delight', 'find', 'prefer', 'size', 'deliveri', 'order', '3-4', 'case', 'everi', '2', 'week', '1', 'bottl', 'break', 'everyth', 'well', 'pack', 'come', 'back', 'order', 'today', 'appear', 'avail', 'pleas', 'mental', 'health', 'bring', 'back', 'mocha', 'frapp']"
5,Love Starbucks,I love Starbucks!!!!,"['love', 'starbuck']"
5,I love these drinks,To drink in stead of coffee,"['drink', 'stead', 'coffe']"
5,It’s good!,I love the fact I can get it! My grocery store doesn’t carry coffee flavor. The coffee is always well packed and has never arrived with a crack or break. This is my favorite flavor.,"['love', 'fact', 'get', 'groceri', 'store', 'carri', 'coffe', 'flavor', 'coffe', 'alway', 'well', 'pack', 'never', 'arriv', 'crack', 'break', 'favorit', 'flavor']"
5,Larger bottle step up from one use to.,If I order again I would order the smaller bottle. Sugar Sugar!,"['order', 'would', 'order', 'smaller', 'bottl', 'sugar', 'sugar']"
5,Starbucks ain’t cheap,Not cheap but much better than retail stores.,"['cheap', 'much', 'better', 'retail', 'store']"
5,Delicious,I love this stuff.. it's the only bottled coffee thing that I drink . getting difficult to find in stores where I live so ordering it by the case here is a really good alternative . and it costs about the same especially with free shipping,"['love', 'stuff', '..', 'bottl', 'coffe', 'thing', 'drink', 'get', 'difficult', 'find', 'store', 'live', 'order', 'case', 'realli', 'good', 'altern', 'cost', 'especi', 'free', 'ship']"
5,Mornin java!,"Taste great, good value.","['tast', 'great', 'good', 'valu']"
5,Vanilla frappuccino,Absolutely love this coffee why did I pay 31 dollars Last time and now it's 51 dollars that's a big jump there sometime 2 for 5 in the store can you tell why it's so expensive now???,"['absolut', 'love', 'coffe', 'pay', '31', 'dollar', 'last', 'time', '51', 'dollar', 'big', 'jump', 'sometim', '2', '5', 'store', 'tell', 'expens']"
5,Its contains lots of Calories,1 bottle is enough for two to share- -Tasty but sweet- A little pricy- Folks on weight watch or sugar careful- need to read ingredient's- Great for a summer treat-,"['1', 'bottl', 'enough', 'two', 'share-', '-tasti', 'sweet-', 'littl', 'pricy-', 'folk', 'weight', 'watch', 'sugar', 'careful-', 'need', 'read', ""ingredient's-"", 'great', 'summer', 'treat-']"
5,Lovely coffee surprise. Almost dessert.,"I love the coffee flavor. It’s less sweet that vanilla or carmel and I’m not a fan of mocha—it’s indecisive, is it coffee or chocolate. But the coffee flat is more robust, less sweet, and more defined. Very satisfying.","['love', 'coffe', 'flavor', 'less', 'sweet', 'vanilla', 'carmel', 'fan', 'mocha—it', 'indecis', 'coffe', 'chocol', 'coffe', 'flat', 'robust', 'less', 'sweet', 'defin', 'satisfi']"
5,Wonderful!!!,I wish you sell and deliver almond milk flavors,"['wish', 'sell', 'deliv', 'almond', 'milk', 'flavor']"
5,Vanila Frappucciono,"Great Flavor, price, and got in in good time.","['great', 'flavor', 'price', 'get', 'good', 'time']"
5,Starbucks coffee was great but they do not value their customers,Starbucks Vanilla Frappe in the bottle have been my morning coffee for many years. I do not understand WHY Starbucks jerks their customers around. They claimed White Choc Moch wasn't selling either when they discontinued it but I am a cashier and can assure it most certainly was. Now we can't get the Vanilla Frapps in.,"['starbuck', 'vanilla', 'frapp', 'bottl', 'morn', 'coffe', 'mani', 'year', 'understand', 'starbuck', 'jerk', 'custom', 'around', 'claim', 'white', 'choc', 'moch', 'sell', 'either', 'discontinu', 'cashier', 'assur', 'certainli', 'ca', 'get', 'vanilla', 'frapp']"
5,Great RTF Starbucks vanilla frappe!,They packed the bottles in a sturdy box. They arrived early. They were very refreshing.,"['pack', 'bottl', 'sturdi', 'box', 'arriv', 'earli', 'refresh']"
5,Well packaged,Great product,"['great', 'product']"
5,Coffee flavor is the best..😊,"We love the coffee flavor, can't find in grocery store. The flavor is wonderful, a bit pricey, the caffeine kick is very good, love it.🌹","['love', 'coffe', 'flavor', 'ca', 'find', 'groceri', 'store', 'flavor', 'wonder', 'bite', 'pricey', 'caffein', 'kick', 'good', 'love', 'it.🌹']"
5,good stuff.,love it.,['love']
5,Delicious !,Taste great,"['tast', 'great']"
5,Great for the price.,Of course addicted to this product. Not a bad price fro being shipped to your home. Packed well I have ordered several times and not one broken bottle.,"['cours', 'addict', 'product', 'bad', 'price', 'fro', 'ship', 'home', 'pack', 'well', 'order', 'sever', 'time', 'break', 'bottl']"
5,It tastes great,Love the flavor but alittle pricey,"['love', 'flavor', 'alittl', 'pricey']"
5,Starbucks Frap is the best,This has been one of my favorites for a long time and will always have it in the frig. I serve it to my f riends also.,"['favorit', 'long', 'time', 'alway', 'frig', 'serv', 'f', 'riend']"
5,Taste great and look forward to my next order,These are the best I go all over town to get these even tho they are a little more it's ok they bring them to my door and they are not broke and I WILL BE ORDERING MORE I Do hope in the future we will get the small size also just to take to beach. Thanks so much for being convient you always come thru for me,"['best', 'go', 'town', 'get', 'even', 'tho', 'littl', 'ok', 'bring', 'door', 'break', 'order', 'hope', 'futur', 'get', 'small', 'size', 'take', 'beach', 'thank', 'much', 'convient', 'alway', 'come', 'thru']"
5,Exceptional drink,Great as a impromptu cold brew drink. Tired of same old drink. This adds pizzazz to your busy day.,"['great', 'impromptu', 'cold', 'brew', 'drink', 'tire', 'old', 'drink', 'add', 'pizzazz', 'busi', 'day']"
5,Mother loves,My 97 yr old mother loves it!!!!,"['97', 'yr', 'old', 'mother', 'love']"
5,Good way to buy,Good stuff shipped fast great price,"['good', 'stuff', 'ship', 'fast', 'great', 'price']"
5,Too pricey,"Purchase for my friend who is in the VA Resdential center( lives there).
He enjoys these but they cost too much.
I mean you get like 12 bottles for about 50 bucks.
Will not be purchasing these again.","['purchas', 'friend', 'va', 'resdenti', 'center', 'live', 'enjoy', 'cost', 'much', 'mean', 'get', 'like', '12', 'bottl', '50', 'buck', 'purchas']"
5,Great value,Love love love these drinks they are my weakness everyday flavor is great and so is the price please keep selling them,"['love', 'love', 'love', 'drink', 'weak', 'everyday', 'flavor', 'great', 'price', 'pleas', 'keep', 'sell']"
5,"No broken bottles, packaged very well","My drinks came in earlier than expected, which made me very happy. They came in packaged very well and there were no broken bottles. Most of my local stores are out of these drinks so buying them like this is actually cheaper and now I don't have to run all over town looking for my favorite drink.","['drink', 'come', 'earlier', 'expect', 'make', 'happi', 'come', 'packag', 'well', 'break', 'bottl', 'local', 'store', 'drink', 'buy', 'like', 'actual', 'cheaper', 'run', 'town', 'look', 'favorit', 'drink']"
5,It's Starbucks,Taste great. Good value for what you get.,"['tast', 'great', 'good', 'valu', 'get']"
5,Hard to find,"This is my most favorite drink in the world trouble is, the stores are always out of
Stock!","['favorit', 'drink', 'world', 'troubl', 'store', 'alway', 'stock']"
5,My concern was shipping - but it's fine.,"My husband and I got into the habit of having frappuccinos on the weekends, and when our local grocery store seemed to be having trouble getting our preferred mocha flavor, of course we turned to Amazon. I was concerned about the shipping, but it's incredibly secure, really strong cardboard, and it arrives quickly. So come the weekend, we'll be having our frappuccinos, no worries about running out or the store not having them. Yay.","['husband', 'get', 'habit', 'frappuccino', 'weekend', 'local', 'groceri', 'store', 'seem', 'troubl', 'get', 'prefer', 'mocha', 'flavor', 'cours', 'turn', 'amazon', 'concern', 'ship', 'incred', 'secur', 'realli', 'strong', 'cardboard', 'arriv', 'quickli', 'come', 'weekend', ""'ll"", 'frappuccino', 'worri', 'run', 'store', 'yay']"
5,I am addicted to Mocha Frappuccino!,"I drink at least 2 bottles a day - it is smooth, chocolaty, satisfying on so many levels! I shouldn't give it a good review because there have been too many times recently that it has been out of stock, but I love it too much to demean it.
Some addicts can't live without their booze or drugs, I can't live without my Frap!","['drink', 'least', '2', 'bottl', 'day', 'smooth', 'chocolati', 'satisfi', 'mani', 'level', 'give', 'good', 'review', 'mani', 'time', 'recent', 'stock', 'love', 'much', 'demean', 'addict', 'ca', 'live', 'without', 'booz', 'drug', 'ca', 'live', 'without', 'frap']"
5,Yum! Yummy!!,Yummy!!!,['yummi']
5,"High caffeine, don't drink at night","Really liked this until I read the amount of caffeine in it, almost as much as a red bull","['realli', 'like', 'read', 'amount', 'caffein', 'almost', 'much', 'red', 'bull']"
5,Great,None broken and what I was looking for,"['none', 'break', 'look']"
5,Arrived safely,Glass bottles arrived unbroken and safe. Ready to go into the fridge!,"['glass', 'bottl', 'arriv', 'unbroken', 'safe', 'readi', 'go', 'fridg']"
5,Fantastic packaging!!,We ran out of coffee drinks in our area so figured I would try this out. My boyfriend was actually so impressed by how these came packaged that he asked for the link and is now subscribing to order 2 of these cases every 2 weeks. Thank you very much!!!!,"['run', 'coffe', 'drink', 'area', 'figur', 'would', 'tri', 'boyfriend', 'actual', 'impress', 'come', 'packag', 'ask', 'link', 'subscrib', 'order', '2', 'case', 'everi', '2', 'week', 'thank', 'much']"
5,Good Price,This is my favorite flavor. It’s hard to find it in grocery stores now,"['favorit', 'flavor', 'hard', 'find', 'groceri', 'store']"
5,Love them.,"I am a fan of these, so nothing to add.","['fan', 'noth', 'add']"
5,Best,The best,['best']
5,Delicious,Love this flavor and this tall size is the best.,"['love', 'flavor', 'tall', 'size', 'best']"
5,Love my morning Starbucks!,Quick delivery. Package for shipment properly. Great product. Long expiration date on bottle.,"['quick', 'deliveri', 'packag', 'shipment', 'properli', 'great', 'product', 'long', 'expir', 'date', 'bottl']"
5,Great flavor. Great service.,"This is my favorite Starbucks product of all time. Arrived safe in a sturdy, reliable packaging.","['favorit', 'starbuck', 'product', 'time', 'arriv', 'safe', 'sturdi', 'reliabl', 'packag']"
